seed,model,target_city,method,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,gate,score_norm
2024,VanillaMF,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.2386314664310053,0.1288397669132313,,local,none
2024,VanillaMF,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1714138622666565,0.1070209613585422,NYC|Singapore|Tokyo,transfer,none
2024,VanillaMF,Chicago,RD-Safe-OTC-GW,0.0,0.005,0.0,0.0,0.0,0.2393352937618533,0.1294136726836142,Singapore|Tokyo,safe_select:RD,none
2024,VanillaMF,Chicago,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.5,1.0,0.2896230634433545,0.1547503619904812,NYC|Singapore|Tokyo,graph_rerank,none
2024,VanillaMF,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.005,1.0,0.5,1.0,0.2984815376133173,0.1624980465463016,Singapore|Tokyo,graph_rerank,none
2024,VanillaMF,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.1513586132249726,0.0695690602584776,,local,none
2024,VanillaMF,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1512908814176095,0.0684855126463398,Chicago|Singapore|Tokyo,transfer,none
2024,VanillaMF,NYC,RD-Safe-OTC-GW,0.0,0.05,0.0,0.0,0.0,0.1567085819966004,0.0700770263771177,Singapore,safe_select:RD,none
2024,VanillaMF,NYC,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,0.05,0.1812461910849007,0.0895846619799028,Chicago|Singapore|Tokyo,graph_rerank,none
2024,VanillaMF,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.05,1.0,0.5,0.05,0.1869398829537078,0.0893787180536775,Singapore,graph_rerank,none
2024,VanillaMF,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.2133958951022435,,local,none
2024,VanillaMF,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4548094549709771,0.2045406022845894,Chicago|NYC|Tokyo,transfer,none
2024,VanillaMF,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.483231005551381,0.2133958951022435,,safe_select:Local,none
2024,VanillaMF,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.2,0.0,0.4904572920050488,0.2332898229734674,Chicago|NYC|Tokyo,graph_rerank,none
2024,VanillaMF,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,0.1,0.02,0.5098039208850271,0.2449837183775688,,graph_rerank,none
2024,VanillaMF,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.1174108107115441,0.0560885217055116,,local,none
2024,VanillaMF,Tokyo,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1161998134375547,0.05440626901174,Chicago|NYC|Singapore,transfer,none
2024,VanillaMF,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1174108107115441,0.0560885217055116,,safe_select:Local,none
2024,VanillaMF,Tokyo,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,0.05,0.1535124988066741,0.0756268200769177,Chicago|NYC|Singapore,graph_rerank,none
2024,VanillaMF,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,1.0,0.1543395261100793,0.0772957578256459,,graph_rerank,none
2024,LightGCN,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,local,none
2024,LightGCN,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.3099462513611985,0.164670548158204,NYC|Singapore|Tokyo,transfer,none
2024,LightGCN,Chicago,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,safe_select:Local,none
2024,LightGCN,Chicago,HR-Rerank-OTC-GW,0.5,0.0,0.2,0.2,0.05,0.3280594951550057,0.1841311201866876,NYC|Singapore|Tokyo,graph_rerank,none
2024,LightGCN,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,fallback_base,none
2024,LightGCN,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,local,none
2024,LightGCN,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.2257754210288772,0.0931827656277131,Chicago|Singapore|Tokyo,transfer,none
2024,LightGCN,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,safe_select:Local,none
2024,LightGCN,NYC,HR-Rerank-OTC-GW,0.5,0.0,0.2,0.2,0.0,0.2391902571741281,0.1082004316815959,Chicago|Singapore|Tokyo,graph_rerank,none
2024,LightGCN,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.8300375935000182,0.4737764150151009,,fallback_base,none
2024,LightGCN,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.5184855171080537,0.2561494180436385,,local,none
2024,LightGCN,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4473821609862218,0.2038855449760068,Chicago|NYC|Tokyo,transfer,none
2024,LightGCN,Singapore,RD-Safe-OTC-GW,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,safe_select:RD,none
2024,LightGCN,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.2,1.0,0.5153182579650368,0.2425156699047708,Chicago|NYC|Tokyo,graph_rerank,none
2024,LightGCN,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.001,0.0,0.0,0.0,0.5211332024512265,0.2589897123107739,Tokyo,fallback_base,none
2024,LightGCN,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,local,none
2024,LightGCN,Tokyo,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1660833375958348,0.0738933940409712,Chicago|NYC|Singapore,transfer,none
2024,LightGCN,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,safe_select:Local,none
2024,LightGCN,Tokyo,HR-Rerank-OTC-GW,0.5,0.0,0.5,0.2,0.05,0.166486276568474,0.0877819467985606,Chicago|NYC|Singapore,graph_rerank,none
2024,LightGCN,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.7239600144044599,0.3899398472150363,,fallback_base,none
2025,VanillaMF,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.276950168760749,0.1382900202888907,,local,none
2025,VanillaMF,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1211890878170602,0.0861098068455103,NYC|Singapore|Tokyo,transfer,none
2025,VanillaMF,Chicago,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.276950168760749,0.1382900202888907,,safe_select:Local,none
2025,VanillaMF,Chicago,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,0.5,0.2429740619263273,0.1445370492880038,NYC|Singapore|Tokyo,graph_rerank,none
2025,VanillaMF,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,1.0,0.29744257474302,0.16363833249585,,graph_rerank,none
2025,VanillaMF,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.1597445612076948,0.0696769404796986,,local,none
2025,VanillaMF,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.154950931045401,0.0655289044726105,Chicago|Singapore|Tokyo,transfer,none
2025,VanillaMF,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1597445612076948,0.0696769404796986,,safe_select:Local,none
2025,VanillaMF,NYC,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,0.2,0.1896759333856108,0.0909566119850421,Chicago|Singapore|Tokyo,graph_rerank,none
2025,VanillaMF,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.2,0.2050087964604093,0.095228222893491,,graph_rerank,none
2025,VanillaMF,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.4564124678571155,0.2095645847980607,,local,none
2025,VanillaMF,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4559048536439176,0.2056259223963912,Chicago|NYC|Tokyo,transfer,none
2025,VanillaMF,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.4564124678571155,0.2095645847980607,,safe_select:Local,none
2025,VanillaMF,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.2,0.5,0.4960760979030424,0.2365937673809126,Chicago|NYC|Tokyo,graph_rerank,none
2025,VanillaMF,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,0.5,0.1,0.5040075699842608,0.2403489065877885,,graph_rerank,none
2025,VanillaMF,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.1168559814165573,0.055991706073822,,local,none
2025,VanillaMF,Tokyo,Original-OTC-GW-NoFallback,1.5,0.0,0.0,0.0,0.0,0.1146905579912914,0.0542184997598772,Chicago|NYC|Singapore,transfer,none
2025,VanillaMF,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1168559814165573,0.055991706073822,,safe_select:Local,none
2025,VanillaMF,Tokyo,HR-Rerank-OTC-GW,1.5,0.0,1.0,1.0,0.0,0.1490995561063298,0.0761826347606557,Chicago|NYC|Singapore,graph_rerank,none
2025,VanillaMF,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.1,0.1524460676882831,0.0765726045542736,,graph_rerank,none
2025,LightGCN,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.6389030408655839,0.3717804413992414,,local,none
2025,LightGCN,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.3124086890511253,0.1442181312834841,NYC|Singapore|Tokyo,transfer,none
2025,LightGCN,Chicago,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6389030408655839,0.3717804413992414,,safe_select:Local,none
2025,LightGCN,Chicago,HR-Rerank-OTC-GW,0.5,0.0,0.5,0.5,0.05,0.3198452106997638,0.1793422215553157,NYC|Singapore|Tokyo,graph_rerank,none
2025,LightGCN,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6389030408655839,0.3717804413992414,,fallback_base,none
2025,LightGCN,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.7976607684069578,0.4436598331660313,,local,none
2025,LightGCN,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1874429547240607,0.0822010326684843,Chicago|Singapore|Tokyo,transfer,none
2025,LightGCN,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.7976607684069578,0.4436598331660313,,safe_select:Local,none
2025,LightGCN,NYC,HR-Rerank-OTC-GW,0.5,0.0,0.2,0.5,0.0,0.228553046891402,0.109095574211273,Chicago|Singapore|Tokyo,graph_rerank,none
2025,LightGCN,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.7976607684069578,0.4436598331660313,,fallback_base,none
2025,LightGCN,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.501128812370321,0.2424658807306648,,local,none
2025,LightGCN,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4658284989122553,0.2022715128635778,Chicago|NYC|Tokyo,transfer,none
2025,LightGCN,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.501128812370321,0.2424658807306648,,safe_select:Local,none
2025,LightGCN,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.5,1.0,0.51219288027589,0.2409216839488495,Chicago|NYC|Tokyo,graph_rerank,none
2025,LightGCN,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.02,0.0,0.05,0.5030188109019476,0.2467239575098977,,graph_rerank,none
2025,LightGCN,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.7825695653673412,0.4443417759425127,,local,none
2025,LightGCN,Tokyo,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.163226450388554,0.0732156575900411,Chicago|NYC|Singapore,transfer,none
2025,LightGCN,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.7825695653673412,0.4443417759425127,,safe_select:Local,none
2025,LightGCN,Tokyo,HR-Rerank-OTC-GW,0.5,0.0,0.2,0.2,0.0,0.1743800718598512,0.0905690990841086,Chicago|NYC|Singapore,graph_rerank,none
2025,LightGCN,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.7825695653673412,0.4443417759425127,,fallback_base,none
2026,VanillaMF,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.2784014829029996,0.1426530988448713,,local,none
2026,VanillaMF,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1517937460773438,0.0995245769654668,NYC|Singapore|Tokyo,transfer,none
2026,VanillaMF,Chicago,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.2784014829029996,0.1426530988448713,,safe_select:Local,none
2026,VanillaMF,Chicago,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,1.0,0.2777773117727409,0.1536679856800397,NYC|Singapore|Tokyo,graph_rerank,none
2026,VanillaMF,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.5,0.3027585153947212,0.1650598906952485,,graph_rerank,none
2026,VanillaMF,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.1524466172162024,0.0670099712782087,,local,none
2026,VanillaMF,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1443531417379343,0.0618620704039339,Chicago|Singapore|Tokyo,transfer,none
2026,VanillaMF,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1524466172162024,0.0670099712782087,,safe_select:Local,none
2026,VanillaMF,NYC,HR-Rerank-OTC-GW,0.5,0.0,1.0,1.0,0.02,0.1843099284228316,0.0870316608594592,Chicago|Singapore|Tokyo,graph_rerank,none
2026,VanillaMF,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,0.5,0.2,0.209531082077165,0.0976011796839006,,graph_rerank,none
2026,VanillaMF,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.4619998500181017,0.2076304916420899,,local,none
2026,VanillaMF,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4620395073785078,0.2043284798238354,Chicago|NYC|Tokyo,transfer,none
2026,VanillaMF,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.4619998500181017,0.2076304916420899,,safe_select:Local,none
2026,VanillaMF,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.2,0.1,0.4967978618624334,0.2351913185500625,Chicago|NYC|Tokyo,graph_rerank,none
2026,VanillaMF,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.02,0.5072198161771542,0.2373113438087481,,graph_rerank,none
2026,VanillaMF,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.1181440634133007,0.0566807676579144,,local,none
2026,VanillaMF,Tokyo,Original-OTC-GW-NoFallback,1.0,0.0,0.0,0.0,0.0,0.1146905579912914,0.0542099715911544,Chicago|NYC|Singapore,transfer,none
2026,VanillaMF,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.1181440634133007,0.0566807676579144,,safe_select:Local,none
2026,VanillaMF,Tokyo,HR-Rerank-OTC-GW,1.0,0.0,1.0,1.0,0.1,0.153461299739727,0.0781707931578455,Chicago|NYC|Singapore,graph_rerank,none
2026,VanillaMF,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,1.0,1.0,0.2,0.1529879214120179,0.0775131974208778,,graph_rerank,none
2026,LightGCN,Chicago,Target-only,0.0,0.0,0.0,0.0,0.0,0.6657092236438718,0.3765493278575123,,local,none
2026,LightGCN,Chicago,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.284519222650332,0.1517479009306082,NYC|Singapore|Tokyo,transfer,none
2026,LightGCN,Chicago,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6657092236438718,0.3765493278575123,,safe_select:Local,none
2026,LightGCN,Chicago,HR-Rerank-OTC-GW,0.5,0.0,0.5,1.0,0.02,0.3287285567939894,0.1784459272453107,NYC|Singapore|Tokyo,graph_rerank,none
2026,LightGCN,Chicago,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6657092236438718,0.3765493278575123,,fallback_base,none
2026,LightGCN,NYC,Target-only,0.0,0.0,0.0,0.0,0.0,0.840094686091673,0.4821640859396924,,local,none
2026,LightGCN,NYC,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.2182993097597847,0.0923436528943019,Chicago|Singapore|Tokyo,transfer,none
2026,LightGCN,NYC,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.840094686091673,0.4821640859396924,,safe_select:Local,none
2026,LightGCN,NYC,HR-Rerank-OTC-GW,0.5,0.0,0.2,0.5,0.0,0.2361317184332072,0.1114087949684167,Chicago|Singapore|Tokyo,graph_rerank,none
2026,LightGCN,NYC,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.840094686091673,0.4821640859396924,,fallback_base,none
2026,LightGCN,Singapore,Target-only,0.0,0.0,0.0,0.0,0.0,0.5152426025564463,0.2459941436970003,,local,none
2026,LightGCN,Singapore,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.4518630650229635,0.2102269472240369,Chicago|NYC|Tokyo,transfer,none
2026,LightGCN,Singapore,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.5152426025564463,0.2459941436970003,,safe_select:Local,none
2026,LightGCN,Singapore,HR-Rerank-OTC-GW,0.5,0.0,1.0,0.1,0.05,0.5097650479559258,0.243529140534228,Chicago|NYC|Tokyo,graph_rerank,none
2026,LightGCN,Singapore,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.5152426025564463,0.2459941436970003,,fallback_base,none
2026,LightGCN,Tokyo,Target-only,0.0,0.0,0.0,0.0,0.0,0.6169124344847404,0.3333820026391381,,local,none
2026,LightGCN,Tokyo,Original-OTC-GW-NoFallback,0.5,0.0,0.0,0.0,0.0,0.1531690840509983,0.0695381872135794,Chicago|NYC|Singapore,transfer,none
2026,LightGCN,Tokyo,RD-Safe-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6169124344847404,0.3333820026391381,,safe_select:Local,none
2026,LightGCN,Tokyo,HR-Rerank-OTC-GW,0.5,0.0,0.5,0.2,0.0,0.1671339871450081,0.0885451825402051,Chicago|NYC|Singapore,graph_rerank,none
2026,LightGCN,Tokyo,RD-Safe+HR-Rerank-OTC-GW,0.0,0.0,0.0,0.0,0.0,0.6169124344847404,0.3333820026391381,,fallback_base,none
